Sum of Count,Column Labels,,,,,,,,,,
Row Labels,0x,0x0e752702,0x1249c58b,0x2608f818,0xa0712d68,0xc5ebeaec,0xf5e3c462,Grand Total,,,
08/03/2020,3,70,106,16,251,126,14,586,,,
09/03/2020,,111,217,10,247,170,24,779,,,
10/03/2020,,63,103,2,235,108,3,514,,,
11/03/2020,,106,131,8,298,108,17,668,,,
12/03/2020,2,254,335,90,269,168,87,1205,,,
13/03/2020,2,277,230,14,442,190,203,1358,,,
14/03/2020,,128,70,105,290,118,116,827,,,
15/03/2020,1,133,83,4,342,206,80,849,,,
16/03/2020,1,154,107,9,293,120,125,809,,,
17/03/2020,3,66,75,2,309,83,106,644,,,
18/03/2020,,62,53,3,248,74,106,546,,,
19/03/2020,1,87,126,2,235,162,56,669,,,
Grand Total,13,1511,1636,265,3459,1633,937,9454,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,0